Site 1,Site 2,Site 3,Site 4,Site 5,Location,Links,GPT Response
https://slco.org/clerk/elections/2024-presidential-primary/,,,,,Salt Lake county UT,https://slco.org/clerk/elections/2024-presidential-primary/,https://slco.org/clerk/elections/2024-presidential-primary/
https://vote.utah.gov/current-election-information/,https://www.heraldextra.com/news/local/2024/jun/02/mail-in-primary-ballots-go-out-tuesday-heres-whos-running-and-how-to-vote-in-utah-county/,https://vote.utah.gov/,https://caucus.utah.gov/,https://www.utahcounty.gov/,Utah county UT,https://www.heraldextra.com/news/local/2024/jun/02/mail-in-primary-ballots-go-out-tuesday-heres-whos-running-and-how-to-vote-in-utah-county/,https://www.heraldextra.com/news/local/2024/jun/02/mail-in-primary-ballots-go-out-tuesday-heres-whos-running-and-how-to-vote-in-utah-county/
https://www.daviscountyutah.gov/clerk/election/elections,https://www.daviscountyutah.gov/directory,https://centervillejr.davis.k12.ut.us/o/dsd/page/school-year-calendars,,,Davis county UT,https://www.daviscountyutah.gov/clerk/election/elections,https://www.daviscountyutah.gov/clerk/election/elections
,,,,,Weber county UT,,Understood. Please provide the text from the websites you'd like me to analyze.
https://www.washco.utah.gov/departments/clerk-auditor/election-info/,https://www.washco.utah.gov/,https://washingtoncity.org/government/elections,https://www.washco.utah.gov/departments/clerk-auditor/,,Washington county UT,"https://www.washco.utah.gov/departments/clerk-auditor/election-info/,https://washingtoncity.org/government/elections","https://www.washco.utah.gov/departments/clerk-auditor/election-info/

https://washingtoncity.org/government/elections"
https://cachecounty.gov/elections/,https://www.americantowns.com/cache-county-ut/events/,,,,Cache county UT,"https://cachecounty.gov/elections/,https://www.americantowns.com/cache-county-ut/events/","https://cachecounty.gov/elections/
https://www.americantowns.com/cache-county-ut/events/"
https://www.americantowns.com/tooele-county-ut/voting-guide-polling-place-locations/,,,,,Tooele county UT,https://www.americantowns.com/tooele-county-ut/voting-guide-polling-place-locations/,https://www.americantowns.com/tooele-county-ut/voting-guide-polling-place-locations/
https://fire.ironcounty.net/files/departments/clerk/elections/primary-notice-of-election.pdf,https://www.cedarcityut.gov/1262/Elections,,,,Iron county UT,https://www.cedarcityut.gov/1262/Elections,https://www.cedarcityut.gov/1262/Elections
https://www.boxeldercounty.org/elections/page/2024-election-candidates,,,,,Box Elder county UT,https://www.boxeldercounty.org/elections/page/2024-election-candidates,https://www.boxeldercounty.org/elections/page/2024-election-candidates
https://www.summitcounty.org/281/Voter-Registration-Elections,https://townlift.com/2024/01/megan-mckenna-files-candidacy-for-summit-county-council-seat/,https://scdems.org/2024-election/,,,Summit county UT,"https://townlift.com/2024/01/megan-mckenna-files-candidacy-for-summit-county-council-seat/,https://scdems.org/2024-election/","https://townlift.com/2024/01/megan-mckenna-files-candidacy-for-summit-county-council-seat/

https://scdems.org/2024-election/"
https://www.uintah.gov/departments/a_-_e_departments/clerk_auditor/election_information.php,"https://ballotpedia.org/Uintah_County,_Utah,_elections,_2022",https://ballotpedia.org/Uintah_County_Sample_Ballot_(Utah),,,Uintah county UT,"https://www.uintah.gov/departments/a_-_e_departments/clerk_auditor/election_information.php,https://ballotpedia.org/Uintah_County,_Utah,_elections,_2022","https://www.uintah.gov/departments/a_-_e_departments/clerk_auditor/election_information.php

https://ballotpedia.org/Uintah_County,_Utah,_elections,_2022"
https://www.sanpete.com/elections.html,"https://ballotpedia.org/Sanpete_County,_Utah,_elections,_2022",https://ballotpedia.org/Sanpete_County_Sample_Ballot_(Utah),,,Sanpete county UT,"https://ballotpedia.org/Sanpete_County,_Utah,_elections,_2022,https://ballotpedia.org/Sanpete_County_Sample_Ballot_(Utah)","https://ballotpedia.org/Sanpete_County,_Utah,_elections,_2022

https://ballotpedia.org/Sanpete_County_Sample_Ballot_(Utah)"
https://www.sevierutah.net/,"https://ballotpedia.org/Sevier_School_District,_Utah","https://ballotpedia.org/Salina,_Utah",,,Sevier county UT,"https://ballotpedia.org/Sevier_School_District,_Utah,https://ballotpedia.org/Salina,_Utah","https://ballotpedia.org/Sevier_School_District,_Utah
https://ballotpedia.org/Salina,_Utah"
https://www.carbon.utah.gov/department/elections/,https://www.standard.net/news/government/2024/may/28/carbon-county-attorney-is-the-democratic-partys-choice-for-utahs-2nd-congressional-district/,https://ugic.org/board-elections/ugic-2024-board-elections/,,,Carbon county UT,"https://www.carbon.utah.gov/department/elections/,https://ugic.org/board-elections/ugic-2024-board-elections/","https://www.carbon.utah.gov/department/elections/
https://ugic.org/board-elections/ugic-2024-board-elections/"
